zip,lat,lng,city,state_id,state_name,,county_name,timezone
65802,37.21048,-93.35167,Springfield,MO,Missouri,,Greene,America/Chicago
65803,37.28464,-93.29036,Springfield,MO,Missouri,,Greene,America/Chicago
65804,37.14822,-93.25294,Springfield,MO,Missouri,,Greene,America/Chicago
65806,37.20567,-93.29847,Springfield,MO,Missouri,,Greene,America/Chicago
65807,37.166,-93.32483,Springfield,MO,Missouri,,Greene,America/Chicago
65809,37.17071,-93.1936,Springfield,MO,Missouri,,Greene,America/Chicago
65810,37.1174,-93.31707,Springfield,MO,Missouri,,Greene,America/Chicago
65897,37.19985,-93.28055,Springfield,MO,Missouri,,Greene,America/Chicago
66002,39.5488,-95.13881,Atchison,KS,Kansas,,Atchison,America/Chicago
66006,38.79433,-95.23936,Baldwin City,KS,Kansas,,Douglas,America/Chicago
66007,39.1405,-94.94548,Basehor,KS,Kansas,,Leavenworth,America/Chicago
66008,39.71283,-95.17564,Bendena,KS,Kansas,,Doniphan,America/Chicago
66010,38.09231,-94.98853,Blue Mound,KS,Kansas,,Linn,America/Chicago
66012,39.06091,-94.91658,Bonner Springs,KS,Kansas,,Leavenworth,America/Chicago
66013,38.73428,-94.68948,Bucyrus,KS,Kansas,,Miami,America/Chicago
66014,38.22305,-94.98371,Centerville,KS,Kansas,,Linn,America/Chicago
66015,38.06786,-95.40395,Colony,KS,Kansas,,Anderson,America/Chicago
66016,39.47038,-95.23158,Cummings,KS,Kansas,,Atchison,America/Chicago
66017,39.70599,-95.27591,Denton,KS,Kansas,,Doniphan,America/Chicago
66018,38.96524,-94.97232,De Soto,KS,Kansas,,Johnson,America/Chicago
66020,39.34142,-95.10779,Easton,KS,Kansas,,Leavenworth,America/Chicago
66021,38.75939,-95.00692,Edgerton,KS,Kansas,,Johnson,America/Chicago
66023,39.51375,-95.40005,Effingham,KS,Kansas,,Atchison,America/Chicago
66024,39.76211,-94.87719,Elwood,KS,Kansas,,Doniphan,America/Chicago
66025,38.89824,-95.07863,Eudora,KS,Kansas,,Douglas,America/Chicago
66026,38.39047,-94.86056,Fontana,KS,Kansas,,Miami,America/Chicago
66027,39.36454,-94.91708,Fort Leavenworth,KS,Kansas,,Leavenworth,America/Chicago
66030,38.81519,-94.94114,Gardner,KS,Kansas,,Johnson,America/Chicago
66031,38.82975,-94.89142,New Century,KS,Kansas,,Johnson,America/Chicago
66032,38.2806,-95.27237,Garnett,KS,Kansas,,Anderson,America/Chicago
66033,38.35855,-95.12842,Greeley,KS,Kansas,,Anderson,America/Chicago
66035,39.87693,-95.26054,Highland,KS,Kansas,,Doniphan,America/Chicago
66039,38.0987,-95.17011,Kincaid,KS,Kansas,,Anderson,America/Chicago
66040,38.35396,-94.73949,La Cygne,KS,Kansas,,Linn,America/Chicago
66041,39.59618,-95.30623,Lancaster,KS,Kansas,,Atchison,America/Chicago
66042,38.43368,-95.08032,Lane,KS,Kansas,,Franklin,America/Chicago
66043,39.24967,-94.90193,Lansing,KS,Kansas,,Leavenworth,America/Chicago
66044,39.03187,-95.20991,Lawrence,KS,Kansas,,Douglas,America/Chicago
66045,38.95408,-95.26078,Lawrence,KS,Kansas,,Douglas,America/Chicago
66046,38.909,-95.21061,Lawrence,KS,Kansas,,Douglas,America/Chicago
66047,38.88484,-95.35096,Lawrence,KS,Kansas,,Douglas,America/Chicago
66048,39.27891,-94.98527,Leavenworth,KS,Kansas,,Leavenworth,America/Chicago
66049,38.97773,-95.34729,Lawrence,KS,Kansas,,Douglas,America/Chicago
66050,39.01961,-95.43697,Lecompton,KS,Kansas,,Douglas,America/Chicago
66052,39.00998,-95.04678,Linwood,KS,Kansas,,Leavenworth,America/Chicago
66053,38.57753,-94.67029,Louisburg,KS,Kansas,,Miami,America/Chicago
66054,39.2055,-95.19518,McLouth,KS,Kansas,,Jefferson,America/Chicago
66056,38.1509,-94.84705,Mound City,KS,Kansas,,Linn,America/Chicago
66058,39.54018,-95.51894,Muscotah,KS,Kansas,,Atchison,America/Chicago
66060,39.41866,-95.3325,Nortonville,KS,Kansas,,Jefferson,America/Chicago
66061,38.89633,-94.88029,Olathe,KS,Kansas,,Johnson,America/Chicago
66062,38.83677,-94.78455,Olathe,KS,Kansas,,Johnson,America/Chicago
66064,38.47829,-94.98688,Osawatomie,KS,Kansas,,Miami,America/Chicago
66066,39.20359,-95.33142,Oskaloosa,KS,Kansas,,Jefferson,America/Chicago
66067,38.61877,-95.27566,Ottawa,KS,Kansas,,Franklin,America/Chicago
66070,39.21135,-95.45132,Ozawkie,KS,Kansas,,Jefferson,America/Chicago
66071,38.57367,-94.86575,Paola,KS,Kansas,,Miami,America/Chicago
66072,38.31772,-94.9741,Parker,KS,Kansas,,Linn,America/Chicago
66073,39.09208,-95.38144,Perry,KS,Kansas,,Jefferson,America/Chicago
66075,38.20362,-94.69272,Pleasanton,KS,Kansas,,Linn,America/Chicago
66076,38.62811,-95.43917,Pomona,KS,Kansas,,Franklin,America/Chicago
66078,38.48321,-95.2621,Princeton,KS,Kansas,,Franklin,America/Chicago
66079,38.53828,-95.11371,Rantoul,KS,Kansas,,Franklin,America/Chicago
66080,38.4053,-95.25646,Richmond,KS,Kansas,,Franklin,America/Chicago
66083,38.73518,-94.83397,Spring Hill,KS,Kansas,,Miami,America/Chicago
66085,38.80069,-94.64729,Stilwell,KS,Kansas,,Johnson,America/Chicago
66086,39.11578,-95.08043,Tonganoxie,KS,Kansas,,Leavenworth,America/Chicago
66087,39.80641,-95.1378,Troy,KS,Kansas,,Doniphan,America/Chicago
66088,39.3416,-95.4563,Valley Falls,KS,Kansas,,Jefferson,America/Chicago
66090,39.78391,-94.97041,Wathena,KS,Kansas,,Doniphan,America/Chicago
66091,38.16952,-95.32701,Welda,KS,Kansas,,Anderson,America/Chicago
66092,38.69305,-95.10548,Wellsville,KS,Kansas,,Franklin,America/Chicago
66093,38.21003,-95.49771,Westphalia,KS,Kansas,,Anderson,America/Chicago
66094,39.95912,-95.34298,White Cloud,KS,Kansas,,Brown,America/Chicago
66095,38.44631,-95.43015,Williamsburg,KS,Kansas,,Franklin,America/Chicago
66097,39.32966,-95.23992,Winchester,KS,Kansas,,Jefferson,America/Chicago
66101,39.11871,-94.62592,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66102,39.11246,-94.68842,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66103,39.06045,-94.62707,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66104,39.15043,-94.68861,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66105,39.08593,-94.63646,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66106,39.06631,-94.70384,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66109,39.16367,-94.8283,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66111,39.08529,-94.79621,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
66112,39.11494,-94.7701,Kansas City,KS,Kansas,,Wyandotte,America/Chicago
